email,first_name,last_name,company,position,industry,company_size,phone,website,source
kontakt@friedrich-garten.de,,,Gartenbau Friedrich,Geschäftsführer,Gartenbau,20-100,,www.friedrich-garten.de,Gelbe Seiten
info@schwarz-druck.de,,,Druckerei Schwarz,Geschäftsführer,Druckerei,30-150,,www.schwarz-druck.de,Gelbe Seiten
mail@weiss-werbung.de,,,Werbeagentur Weiß,Geschäftsführer,Werbeagentur,10-50,,www.weiss-werbung.de,Gelbe Seiten
info@gruen-messe.de,,,Messebau Grün,Geschäftsführer,Messebau,10-50,,www.gruen-messe.de,Gelbe Seiten
kontakt@blau-schilder.de,,,Schilderwerk Blau,Geschäftsführer,Schilder,30-150,,www.blau-schilder.de,Gelbe Seiten
kontakt@rot-copy.de,,,Copyshop Rot,Geschäftsführer,Copyshop,30-150,,www.rot-copy.de,Gelbe Seiten
info@ernst-beratung.de,,,Unternehmensberatung Ernst,Geschäftsführer,Beratung,50-200,,www.ernst-beratung.de,Gelbe Seiten
kontakt@fuchs-steuer.de,,,Steuerberatung Fuchs,Geschäftsführer,Steuerberatung,30-150,,www.fuchs-steuer.de,Gelbe Seiten
mail@jung-personal.de,,,Personalservice Jung,Geschäftsführer,Personal,10-50,,www.jung-personal.de,Gelbe Seiten
mail@alt-versicherung.de,,,Versicherungsmakler Alt,Geschäftsführer,Versicherung,20-100,,www.alt-versicherung.de,Gelbe Seiten
info@neu-finanz.de,,,Finanzberatung Neu,Geschäftsführer,Finanzberatung,20-100,,www.neu-finanz.de,Gelbe Seiten
mail@sauber-textil.de,,,Textilreinigung Sauber,Geschäftsführer,Reinigung,20-100,,www.sauber-textil.de,Gelbe Seiten
info@schnell-schluessel.de,,,Schlüsseldienst Schnell,Geschäftsführer,Schlüsseldienst,20-100,,www.schnell-schluessel.de,Gelbe Seiten
kontakt@stark-umzug.de,,,Umzugsservice Stark,Geschäftsführer,Umzug,20-100,,www.stark-umzug.de,Gelbe Seiten
kontakt@klar-entsorgung.de,,,Entsorgung Klar,Geschäftsführer,Entsorgung,50-200,,www.klar-entsorgung.de,Gelbe Seiten
kontakt@gruen-recycling.de,,,Recycling Grün,Geschäftsführer,Recycling,30-150,,www.gruen-recycling.de,Gelbe Seiten
kontakt@schmidt-buero.de,,,Büroservice Schmidt,Geschäftsführer,Büroservice,50-200,,www.schmidt-buero.de,Gelbe Seiten
info@mueller-zeitarbeit.de,,,Zeitarbeit Müller,Geschäftsführer,Zeitarbeit,30-150,,www.mueller-zeitarbeit.de,Gelbe Seiten
info@wagner-sicherheit.de,,,Sicherheitsdienst Wagner,Geschäftsführer,Sicherheit,10-50,,www.wagner-sicherheit.de,Gelbe Seiten
kontakt@meyer-reinigung.de,,,Reinigungsservice Meyer,Geschäftsführer,Reinigung,30-150,,www.meyer-reinigung.de,Gelbe Seiten
mail@weber-hausmeister.de,,,Hausmeisterservice Weber,Geschäftsführer,Hausmeister,20-100,,www.weber-hausmeister.de,Gelbe Seiten
info@fischer-elektro.de,,,Elektrohandel Fischer,Geschäftsführer,Elektrohandel,30-150,,www.fischer-elektro.de,Gelbe Seiten
kontakt@schneider-baustoffe.de,,,Baustoffhandel Schneider,Geschäftsführer,Baustoffhandel,50-200,,www.schneider-baustoffe.de,Gelbe Seiten
kontakt@klein-fenster.de,,,Fenster & Türen Klein,Geschäftsführer,Fensterbau,20-100,,www.klein-fenster.de,Gelbe Seiten
mail@braun-solar.de,,,Solartechnik Braun,Geschäftsführer,Solartechnik,20-100,,www.braun-solar.de,Gelbe Seiten
info@hoffmann-klima.de,,,Klimatechnik Hoffmann,Geschäftsführer,Klimatechnik,30-150,,www.hoffmann-klima.de,Gelbe Seiten
